Unnamed: 0,小区名字,总价,户型,建筑面积,单价,朝向,楼层,装修,区域,楼房结构,房源发布时间
172,隆基泰和铂悦山,125万,3室1厅5卫, 89.61平米 ,13950元/平米,东南,中楼层,精装,龙泉驿区, 塔楼, 2个月前
173,光明城市,150万,2室1厅1卫, 89.93平米 ,16680元/平米,东南,低楼层,精装,天府新区, 板塔结合, 1年前
174,润扬书院阁,40万,1室1厅1卫, 42.67平米 ,9328元/平米,南,低楼层,简装,双流区, 板塔结合, 1年前
175,湟普国际,60万,1室1厅1卫, 53.5平米 ,11141元/平米,北,低楼层,简装,温江区, 板塔结合, 8个月前
176,佳兆业广场,130万,2室2厅1卫, 68.7平米 ,18923元/平米,南,中楼层,精装,青羊区, 板塔结合, 1个月前
177,水城印象,33万,3室1厅1卫, 97.16平米 ,3376元/平米,东南,高楼层,简装,金堂县, 塔楼, 2个月前
178,荆竹小区7号院,102万,3室2厅1卫, 109.67平米 ,9301元/平米,北,中楼层,精装,成华区, 板楼, 3个月前
179,绿地国际花都一期,79万,3室1厅1卫, 88.14平米 ,8907元/平米,东南,高楼层,简装,郫都区, 板楼, 2个月前
180,南峰水岸华府,102万,3室2厅1卫, 102.32平米 ,9969元/平米,南,高楼层,其他,都江堰市, 塔楼, 1个月前
181,洲际春天广场,99万,3室2厅1卫, 80.24平米 ,12338元/平米,西南,中楼层,精装,温江区, 板塔结合, 1年前
182,凯华丽景,160万,3室2厅1卫, 122.26平米 ,13087元/平米,东南,低楼层,简装,天府新区, 板塔结合, 1年前
183,恒大天府半岛二期,142万,2室1厅1卫, 93.09平米 ,15255元/平米,西,中楼层,简装,天府新区, 板塔结合, 1年前
184,青南美湾,120万,2室2厅1卫, 73.45平米 ,16338元/平米,西,低楼层,简装,天府新区, 板塔结合, 1年前
185,卓锦万黛,140万,3室2厅2卫, 98.32平米 ,14219元/平米,东北,中楼层,精装,龙泉驿区, 板塔结合, 8个月前
186,南湖世纪,120万,2室1厅1卫, 71.54平米 ,16774元/平米,东南,低楼层,精装,双流区, 板楼, 4个月前
187,优山禧园,485万,4室2厅1卫, 158.73平米 ,30556元/平米,西北,高楼层,精装,锦江区, 塔楼, 5个月前
188,和信香榭澜郡,89万,3室1厅3卫, 91.58平米 ,9719元/平米,南,中楼层,毛坯,新都区, 板塔结合, 11个月前
189,海骏达蜀都1号一期北区,100万,3室2厅1卫, 88.22平米 ,11313元/平米,东南,低楼层,精装,郫都区, 板塔结合, 9个月前
190,合能锦城,139万,3室2厅1卫, 81平米 ,17161元/平米,东南,高楼层,精装,锦江区, 塔楼, 6个月前
191,昊园江南壹品,66万,3室1厅1卫, 90.6平米 ,7285元/平米,南,高楼层,毛坯,龙泉驿区, 板塔结合, 11个月前
192,蓝光圣菲TOWN城,158万,3室2厅2卫, 108.98平米 ,14499元/平米,东南,中楼层,精装,双流区, 塔楼, 24天前
193,派克公馆,80万,2室2厅1卫, 88.17平米 ,9074元/平米,东南,高楼层,简装,郫都区, 板塔结合, 6个月前
194,棕榈南岸,186万,3室2厅1卫, 131.87平米 ,14105元/平米,南,中楼层,简装,高新区, 板塔结合, 1年前
195,华宇旭辉锦绣花城,216万,4室2厅1卫, 125.88平米 ,17160元/平米,东,中楼层,精装,成华区, 板楼, 1年前
196,凯德风尚,189万,3室2厅1卫, 88.3平米 ,21405元/平米,北,中楼层,精装,青羊区, 板塔结合, 9个月前
197,中交牧山美庐,103万,3室2厅1卫, 115.56平米 ,8914元/平米,南,中楼层,精装,新津区, 板塔结合, 5个月前
198,光华瑞廷,106万,3室1厅2卫, 99.65平米 ,10638元/平米,东南,高楼层,毛坯,温江区, 板塔结合, 6个月前
199,泽瀚峰景,73万,3室1厅1卫, 83.42平米 ,8751元/平米,东南,中楼层,精装,新都区, 塔楼, 6个月前
200,蓝光凯丽香江,180万,3室2厅1卫, 108.75平米 ,16552元/平米,北,中楼层,精装,锦江区, 板塔结合, 8个月前
201,中海右岸,155万,3室2厅1卫, 89.63平米 ,17294元/平米,南,高楼层,简装,双流区, 塔楼, 10个月前
202,天府名居,195万,2室2厅2卫, 101.08平米 ,19292元/平米,南,高楼层,简装,武侯区, 塔楼, 7个月前
203,锦府苑,86万,2室1厅1卫, 77.2平米 ,11140元/平米,东南,高楼层,简装,双流区, 板楼, 5个月前
204,成都后花园四期,88万,2室2厅2卫, 82.26平米 ,10698元/平米,东南,高楼层,精装,郫都区, 塔楼, 2个月前
205,城南名著,124万,2室2厅2卫, 85.77平米 ,14458元/平米,东,中楼层,简装,高新区, 板塔结合, 11个月前
206,龙门公寓,147万,3室2厅1卫, 123.23平米 ,11929元/平米,南北,中楼层,精装,武侯区, 板楼, 6个月前
207,河畔新世界,350万,4室2厅1卫, 197.71平米 ,17703元/平米,西南,高楼层,毛坯,天府新区, 塔楼, 7个月前
208,黄渡小区一期,30万,3室1厅2卫, 107.39平米 ,2794元/平米,南北,高楼层,精装,新津区, 板塔结合, 6个月前
